max_depth	min_split	ganancia_promedio
12	50	5663333
12	50	5610000
12	20	6880000
12	20	6516667
12	20	6763333
12	20	6576667
12	20	6486667
12	20	6046667
12	20	5850000
12	20	5270000
12	10	6986667
12	10	6603333
12	10	6776667
12	10	6626667
12	10	6550000
12	10	6070000
12	10	5773333
12	10	5080000
14	1000	7856667
14	1000	6433333
14	1000	6196667
14	1000	6260000
14	1000	6773333
14	1000	5990000
14	1000	5936667
14	1000	5696667
14	800	7920000
14	800	6483333
14	800	6593333
14	800	6906667
14	800	6680000
14	800	5893333
14	800	5840000
14	800	5533333
14	600	7270000
14	600	5686667
14	600	5793333
14	600	6060000
14	600	6310000
14	600	6086667
14	600	6096667
14	600	6130000
14	400	7326667
14	400	6240000
14	400	6646667
14	400	7256667
14	400	7356667
14	400	6990000
14	400	6313333
14	400	6090000
14	200	7730000
14	200	6256667
14	200	6453333
14	200	6683333
14	200	6306667
14	200	6483333
14	200	5923333
14	200	5793333
14	100	7503333
14	100	5916667
14	100	5710000
14	100	6310000
14	100	5093333
14	100	5516667
14	100	5566667
14	100	5483333
14	50	7513333
14	50	5700000
14	50	5590000
14	50	5563333
14	50	4553333
14	50	4923333
14	50	5480000
14	50	5433333
14	20	7563333
14	20	5970000
14	20	5830000
14	20	5460000
14	20	4540000
14	20	5033333
14	20	5503333
14	20	5200000
14	10	7720000
14	10	6113333
14	10	5753333
14	10	5566667
14	10	4686667
14	10	4990000
14	10	5246667
14	10	4826667
16	1000	6503333
16	1000	5113333
16	1000	5393333
16	1000	6316667
16	1000	5783333
16	1000	5476667
16	1000	5453333
16	1000	5290000
16	800	6566667
16	800	5163333
16	800	5776667
16	800	6950000
16	800	5690000
16	800	5380000
16	800	5356667
16	800	5126667
16	600	5843333
16	600	4333333
16	600	4943333
16	600	6060000
16	600	5280000
16	600	5426667
16	600	5573333
16	600	5670000
16	400	5900000
16	400	4726667
16	400	5630000
16	400	7196667
16	400	6550000
16	400	6330000
16	400	6253333
16	400	5803333
16	200	6306667
16	200	4760000
16	200	5326667
16	200	6490000
16	200	4833333
16	200	5183333
16	200	5240000
16	200	4670000
16	100	6230000
16	100	4776667
16	100	4120000
16	100	5620000
16	100	3860000
16	100	4036667
16	100	3930000
16	100	3886667
16	50	6410000
16	50	4480000
16	50	4026667
16	50	4910000
16	50	3410000
16	50	3630000
16	50	3840000
16	50	3880000
16	20	6516667
16	20	4696667
16	20	4243333
16	20	4883333
16	20	3586667
16	20	3906667
16	20	4133333
16	20	3866667
16	10	6720000
16	10	4896667
16	10	4313333
16	10	5110000
16	10	3856667
16	10	3980000
16	10	3750000
16	10	3523333
