Feature	Gain	Cover	Frequency
chomebanking_trx	0.284192000851732	0.0149414192571247	0.0230996195356782
ctarjeta_visa_trx	0.0473564794238465	0.0165246974094795	0.0100745399487538
ctrx_quarter	0.045245903869172	0.0257987374198771	0.0344553148536377
mpayroll	0.0452262603255771	0.0960708656018445	0.0368235111421694
Master_Fvencimiento	0.0440262585719845	0.00764162792107289	0.0258172218339933
mcaja_ahorro	0.0368912155282407	0.00742557067753271	0.0180526438388074
Visa_msaldototal	0.03284722109991	0.0464924284342233	0.0253513471542822
mpasivos_margen	0.0313996040981988	0.0226167229654886	0.0315824209954189
mcuentas_saldo	0.0274966133292294	0.0091783535119885	0.0223037502911717
mrentabilidad	0.0262532995662842	0.00832653784343439	0.0257589874990294
mrentabilidad_annual	0.0233803892074961	0.00999635918179296	0.0280689494525973
Visa_mconsumospesos	0.0192215159699899	0.0451774408690529	0.0274477832129824
Master_fechaalta	0.0188148380675709	0.0103268210321206	0.0259142790589332
Visa_msaldopesos	0.0177574502164304	0.0393006691693015	0.018266169733675
cliente_edad	0.017151345677699	0.00745225179006853	0.0277777777777778
Master_mpagospesos	0.0157565291838858	0.0158794432101924	0.0120350958925382
mtransferencias_recibidas	0.0154115827251438	0.00741441043031048	0.0130639024769004
numero_de_cliente	0.014598443044414	0.00796493140883835	0.0340864973988664
Visa_fultimo_cierre	0.0138313291220689	0.00123739452741664	0.0029893625281466
Visa_mpagospesos	0.0136302143388657	0.0171208496567706	0.0216825840515568
mtarjeta_visa_consumo	0.0126453045147148	0.0502364119791258	0.0248078266946192
cpagomiscuentas	0.0121321583777997	0.00466257129557271	0.00353288298780961
mttarjeta_master_debitos_automaticos	0.011359898498992	0.00305666847794437	0.00234878484354375
Visa_fechaalta	0.0108979270360694	0.0097234803187626	0.0226337448559671
mcaja_ahorro_dolares	0.0107119947538863	0.00722735728642112	0.0122292103424179
cliente_antiguedad	0.0106929942016534	0.0054000594975702	0.0242643062349561
Master_mconsumospesos	0.0104100051792667	0.0114979727973794	0.00698812019566737
Visa_mlimitecompra	0.00880406107406757	0.00210382293889168	0.0021546703936641
Master_mlimitecompra	0.00699367396688129	0.00148087543660932	0.00147526981908533
Visa_cconsumos	0.00691805875539763	0.0201769812888807	0.0131415482568522
mcomisiones	0.00633437117028743	0.00669522327771967	0.0175091233791443
Visa_mpagominimo	0.00615077642476756	0.0198437041337044	0.0200326112275798
Visa_Fvencimiento	0.00555045742394907	0.00729223096627017	0.0233907912104977
mactivos_margen	0.00544420258669062	0.0151347834753494	0.0273119030980666
Master_mfinanciacion_limite	0.00539703843805679	0.00391381622977375	0.0202849600124233
ctarjeta_visa_trx2	0.00530225651222152	0.00120294796497323	0.0040958148924606
Visa_mpagosdolares	0.00511411111734492	0.00517802608118481	0.00289230530320677
mextraccion_autoservicio	0.00386744264923643	0.00320272942858064	0.00384346610761705
cproductos	0.00356395881698484	0.00207084015936575	0.00760928643528224
mtransferencias_emitidas	0.00331702069899802	0.00498196697213044	0.00889044180448793
