Feature	Gain	Cover	Frequency
ctrx_quarter	0.121378372432162	0.0262431712190884	0.0266968953870356
mpasivos_margen	0.0789809480647367	0.0410581724763117	0.0380326655253782
cpayroll_trx	0.0613990412596676	0.00315033966608597	0.00124924813769491
mtarjeta_visa_consumo	0.052519473383621	0.0231008837417141	0.0167954471845648
mcaja_ahorro	0.0439816634004834	0.0254693483790173	0.0309535927451071
mrentabilidad_annual	0.0368272288583257	0.0456896362003385	0.0488594827187341
mcuentas_saldo	0.0339434440425177	0.0543401735550707	0.0491833618655439
numero_de_cliente	0.0282874158910225	0.0528199161162555	0.0512191736454911
Master_fechaalta	0.0267519498649496	0.0341284495357243	0.0387729607180863
mactivos_margen	0.0258134723236715	0.0268316857217164	0.0282700226715403
mpayroll	0.0243953245227797	0.00619116023035308	0.00249849627538981
cliente_antiguedad	0.0232655143060282	0.03415548998986	0.0382640077730995
Visa_Fvencimiento	0.0228541837466075	0.0227165944540562	0.0304446398001203
mprestamos_personales	0.0220342580316686	0.00930422351612115	0.00416416045898302
mrentabilidad	0.0215227708321115	0.0408374850292029	0.042150557534817
Visa_fechaalta	0.0210519253365097	0.0307501417722453	0.0342849211122935
cliente_edad	0.0207345850387652	0.0328583645760177	0.0334058205709527
Master_Fvencimiento	0.0207172509830112	0.0269679862677362	0.0327117938277888
chomebanking_trx	0.0187701345566595	0.0276317921211671	0.0267431638365798
mcuenta_corriente	0.018035699014607	0.039819980517291	0.0321565724332578
mcomisiones	0.017132422776835	0.0168388060421054	0.02207005043261
Visa_mfinanciacion_limite	0.0151550190756623	0.0195114261372373	0.0231804932216721
Visa_mconsumospesos	0.0146694559404978	0.0180559266734711	0.0206819969462823
mcomisiones_otras	0.0132348500672161	0.0136629296438721	0.0189700643131449
mtransferencias_recibidas	0.0129228089410887	0.0227880445868524	0.0236431777171147
mcaja_ahorro_dolares	0.0120631236066431	0.0136898721684565	0.0140656086614538
Visa_mpagominimo	0.0119418184041756	0.0107571575917356	0.0142506824596308
Master_mfinanciacion_limite	0.0115293445915035	0.0131197812346812	0.0191088696617776
Visa_msaldototal	0.0111891351933898	0.0165132177409885	0.0195715541572202
Visa_mpagospesos	0.0109485265656566	0.0125944907825421	0.0168417156341091
Visa_mlimitecompra	0.0100239936921388	0.0164429198820714	0.0182297691204368
ctarjeta_visa_trx	0.00937648053537163	0.00371671934443667	0.00347013371581918
Visa_msaldopesos	0.00889608927972749	0.0087599786620477	0.0123536760283163
Master_mlimitecompra	0.00792844569659198	0.00845438080260391	0.0114283070374312
ccomisiones_otras	0.00702650446181079	0.00316510506282216	0.00309998611946514
mtarjeta_visa_debitos_automaticos	0.00683316737230393	0.0101600078992356	0.0114283070374312
cproductos	0.0065505500714213	0.00739009708298234	0.00578355619303197
Visa_mconsumototal	0.00607711072142289	0.00974510784735286	0.0110118909915329
Master_mpagospesos	0.00598911559383784	0.0122718678248471	0.00855966316568732
mcuenta_debitos_automaticos	0.00581368147999049	0.0107957885116413	0.00883727386295285
mtransferencias_emitidas	0.00549678920341386	0.0117456246188493	0.0106880118447231
ctarjeta_visa_trx2	0.00403188788330757	0.00522784187809945	0.005968629991209
Visa_mpagado	0.00400369212552792	0.0120234132314184	0.00777309952343497
mpagomiscuentas	0.00397442894511243	0.00873723612541485	0.00624624068847453
Master_msaldopesos	0.00382169254881964	0.00476344621749588	0.00462684495442558
mcomisiones_mantenimiento	0.00378828265358223	0.00396077626035236	0.00411789200943876
ccaja_ahorro	0.00337977584412659	0.0105369442334825	0.00360893906445195
mautoservicio	0.00322268431119553	0.00834111841232965	0.00754175727571369
ctransferencias_recibidas	0.00317674373825156	0.00546608434131168	0.00342386526627493
mextraccion_autoservicio	0.00274898412638013	0.0121050690878249	0.00749548882616944
Master_msaldototal	0.00247813069608827	0.00218979903521673	0.00263730162402258
thomebanking	0.00234015376598348	0.000781092507602047	0.000925368990885115
Visa_mconsumosdolares	0.00232693857421064	0.00355871138629327	0.00448803960579281
ctarjeta_debito	0.00220868896927471	0.00196718686057208	0.00203581177994725
ctarjeta_debito_trx	0.00196282822036661	0.00319724792114828	0.00309998611946514
cprestamos_personales	0.00187162529872456	0.000649447733800447	0.000416416045898302
cseguro_accidentes_personales	0.00175396292981563	0.00848104601266461	0.00319252301855365
ccuenta_debitos_automaticos	0.00156030096274281	0.00286512762743819	0.00185073798177023
ctransferencias_emitidas	0.00133563206682646	0.00299284789735305	0.00231342247721279
Master_cconsumos	0.00131950067416541	0.00493299247333055	0.00254476472493407
ccallcenter_trx	0.00130718702070359	0.0030565707478928	0.00120297968815065
cpagomiscuentas	0.00121668438885646	0.00167874589242048	0.00171193263313746
matm	0.00111890798647429	0.00251468260965619	0.00245222782584556
ccaja_seguridad	0.00111498304861344	0.00471847916409956	0.00152685883496044
Master_mpagominimo	0.00111192866573728	0.000746039219621115	0.000925368990885115
Master_fultimo_cierre	0.00111043344360857	0.000862381356998663	0.00120297968815065
catm_trx	0.00109559549784461	0.00293028830344577	0.00203581177994725
mtarjeta_master_consumo	0.00101562534479535	0.00698212440281576	0.00309998611946514
Visa_cconsumos	0.000999613623644071	0.00109654006639964	0.00138805348632767
mplazo_fijo_dolares	0.000952474971111883	0.00277165524358721	0.00087910054134086
Master_mconsumospesos	0.000719744168598654	0.00112141051150653	0.00129551658723916
cextraccion_autoservicio	0.000527185577931172	0.00145815545963353	0.00115671123860639
Visa_fultimo_cierre	0.000452106222469436	0.000189167860038924	0.000231342247721279
ctarjeta_visa_debitos_automaticos	0.000450943627768886	0.000562932924237484	0.000740295192708092
Master_mconsumototal	0.000441559488776653	0.000577739506298985	0.000647758293619581
ccomisiones_mantenimiento	0.000243369472542399	3.59602803670702e-05	9.25368990885116e-05
Master_status	0.000182293623149608	6.32121525059794e-05	9.25368990885116e-05
tcallcenter	0.000151740412609936	0.000233718484034951	0.000138805348632767
ctarjeta_master	0.000120110631949401	0.000383563510703099	0.000185073798177023
Visa_msaldodolares	7.85384899964856e-05	8.63152895426024e-05	0.000138805348632767
ccajas_trx	7.71245486058759e-05	0.000630038462828865	0.000231342247721279
Master_mpagosdolares	6.92321756247781e-05	5.76054568879327e-05	4.62684495442558e-05
Visa_delinquency	3.0081886388945e-05	4.27219955525303e-05	4.62684495442558e-05
Visa_mpagosdolares	2.40604900344534e-05	3.24000378019051e-05	4.62684495442558e-05
cplazo_fijo	1.94516970563831e-05	0.000145876591767748	4.62684495442558e-05
