Feature	Gain	Cover	Frequency
mtransferencias_emitidas	0.0077014430302612	0.0101642095673486	0.0120790254887911
mtransferencias_recibidas	0.00697058543755621	0.00651489966377771	0.0124884839799365
cproductos	0.0065691788239381	0.00970786040031021	0.0105435561469956
ccomisiones_mantenimiento	0.00574180898154217	0.0166578936287006	0.00491350189374552
Visa_mconsumototal	0.0055835697564283	0.00648463260736616	0.0118742962432183
ctransferencias_recibidas	0.00556771917144038	0.0129440770297239	0.0084962636912683
thomebanking	0.00528689837039746	0.00583733296132528	0.00388985566588187
ctarjeta_debito_trx	0.00497065809152355	0.00945401237327725	0.0152523287951684
Visa_mpagado	0.00474191924298094	0.00992420523632848	0.00675606510390009
Master_msaldototal	0.00473032438375247	0.00433334839562324	0.00603951274439554
Master_mpagominimo	0.00470144634810163	0.00688373132794415	0.00593714812160917
mextraccion_autoservicio	0.00447586362139724	0.0104666639022856	0.0105435561469956
Master_mpagospesos	0.00439603836086707	0.0145368412732704	0.00839389906848193
mpagomiscuentas	0.00424000176750627	0.00952571497460177	0.00788207595455011
ctarjeta_visa_debitos_automaticos	0.00422609793439427	0.00620760280095836	0.00808680520012284
mcuenta_debitos_automaticos	0.00416415983822281	0.00641131583008084	0.00716552359504555
ccuenta_debitos_automaticos	0.00408045817865355	0.0104674835617298	0.00624424198996827
tcallcenter	0.00400987230408918	0.00310682106610057	0.00184256321015457
ctransferencias_emitidas	0.0039521025001285	0.0127676390486121	0.00706315897225919
ccaja_ahorro	0.00361452707768003	0.0118490421836878	0.00419694953424097
ccallcenter_trx	0.00320104948350961	0.0067947756496055	0.00266148019244549
Visa_mconsumosdolares	0.00310213048343368	0.00273802460203296	0.00552768963046371
mdescubierto_preacordado	0.00295179306862709	0.00666668248994919	0.00184256321015457
ctarjeta_debito	0.00286153027018451	0.00376550040123587	0.00470877264817279
cmobile_app_trx	0.00275370055909126	0.00169294372482759	0.00348039717473641
cprestamos_personales	0.00241375729616023	0.00557999509592223	0.00214965707851367
Master_mconsumospesos	0.00227558325246292	0.00388463765003175	0.00563005425325008
cpagomiscuentas	0.00215212831805034	0.00555698931704155	0.00450404340260006
ccajas_consultas	0.00203304133569466	0.00799148346683038	0.00153546934179548
Visa_mpagosdolares	0.00196070293928492	0.00433951847009026	0.00255911556965913
mplazo_fijo_dolares	0.00196003347202123	0.0134125853166167	0.0020472924557273
matm	0.00184620811910735	0.0046409721165032	0.00501586651653189
Master_fultimo_cierre	0.0018038271191196	0.00387104538329634	0.0044016787798137
cextraccion_autoservicio	0.00175255000656872	0.00472044388249889	0.00747261746340465
Master_msaldopesos	0.00158751048255744	0.00356374349189144	0.00296857406080459
Master_mconsumototal	0.00155945798110538	0.0024069173866453	0.00337803255195005
ccaja_seguridad	0.00148385078341627	0.00539787984172708	0.00143310471900911
cseguro_accidentes_personales	0.0013467005627358	0.00711693701130383	0.00225202170130003
Visa_Finiciomora	0.00123039166968783	0.00473285946021614	0.00112601085065002
Master_cconsumos	0.00107251723932544	0.00291687630420766	0.00245675094687276
Visa_fultimo_cierre	0.00103792562680917	0.00122083999926824	0.00225202170130003
ctarjeta_master	0.000980250149791319	0.000523214269066076	0.000716552359504555
Visa_status	0.000880128626348573	0.00680841820219639	0.00112601085065002
catm_trx	0.000871524281249793	0.00476524355114326	0.00266148019244549
matm_other	0.000848676021160325	0.00310828438449494	0.00225202170130003
active_quarter	0.000810720848687588	0.000469483832489005	0.000921281605077285
cplazo_fijo	0.000791696943426953	0.00255981655880837	0.00061418773671819
